id,title,isPaid,price,numSubscribers,numReviews,numPublishedLectures,instructionalLevel
74,Complete React JS web developer with ES6 - Build 10 projects,TRUE,200,952,121,75,Beginner Level
75,Complete WordPress Theme Developer Course With Bootstrap,TRUE,150,3415,312,160,All Levels
76,The Complete Ethical Hacking Course 2.0: Python & Kali Linux,TRUE,195,7827,268,66,All Levels
77,Dynamic JavaScript Master Class AJAX JSON Simple APIs,TRUE,200,9773,117,65,Intermediate Level
78,Vue JS - Mastering Web Apps,TRUE,80,13457,215,69,All Levels
79,Angular NgRx Store Masterclass - Covers Angular 4,TRUE,150,1399,212,89,Intermediate Level
80,JavaScript the Basics - JavaScript for Beginners,TRUE,120,4028,674,93,Beginner Level
81,"Complete E-Commerce Course - Java,Spring,Hibernate and MySQL",TRUE,195,1371,165,83,All Levels
82,"Learn SVG Animation - With HTML, CSS & Javascript",TRUE,65,12953,680,22,All Levels
83,"Build a Responsive Website with HTML5, CSS3 and Bootstrap 4",TRUE,20,5125,395,53,All Levels
84,Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,TRUE,75,43285,525,24,All Levels
85,CSS Development (with CSS3!),TRUE,20,25864,188,32,All Levels
86,Angular 2 & TypeScript Beginner Web Development,TRUE,200,5211,414,133,Beginner Level
87,The Docker for DevOps course: From development to production,TRUE,25,8234,1111,110,All Levels
88,"Beginner Full Stack Web Development: HTML, CSS, React & Node",TRUE,200,2687,331,138,Beginner Level
89,Learn Angular 2 Development By Building 12 Apps,TRUE,50,5143,941,80,Intermediate Level
90,"Server API Development in Swift, Kitura, & Bluemix",TRUE,200,1827,129,66,Beginner Level
91,React VR - Creating Virtual Reality Apps,TRUE,80,5026,72,43,All Levels
92,RxJs & Reactive Programming Angular Masterclass - Angular 4,TRUE,150,1301,179,80,All Levels
93,"Coding for Entrepreneurs: Learn Python, Django, and More.",TRUE,195,23412,799,251,All Levels
94,React and Flux Web Development for Beginners,TRUE,100,8691,836,63,Beginner Level
95,The Full Stack Web Development,TRUE,60,3119,453,207,Beginner Level
96,Learn Nodejs by building 12 projects,TRUE,50,10150,997,90,All Levels
97,How to Make an Online Portfolio Website from Scratch ,FALSE,0,14026,232,25,All Levels
98,How To Make A Web Page With No Code,FALSE,0,2214,20,23,Beginner Level
99,Spring Framework 4 And Dependency Injection For Beginners,FALSE,0,21147,1220,16,Beginner Level
100,Joomla 3 - The Basics,FALSE,0,19909,411,17,Beginner Level
101,jQuery in Action: Build 8 jQuery Projects,TRUE,100,1385,89,97,All Levels
102,Master WordPress Plugins: Shortcodes Ultimate - The Basics,FALSE,0,10780,110,19,All Levels
103,ASP.NET C# - Enterprise Web Systems From Novice to Expert,TRUE,20,604,8,43,All Levels
104,Wordpress - Create an Outstanding Website in 2 hours,TRUE,30,1772,13,48,Beginner Level
105,Complete Website & CMS in PHP & MySQL From Scratch!,TRUE,20,3357,82,48,All Levels
106,The Complete Web Development Tutorial Using React and Redux,TRUE,40,796,43,29,Intermediate Level
107,Create and Deploy a Web App in 3 Hours,TRUE,50,4123,23,34,Beginner Level
108,HTML & CSS From Scratch in 30 Days,TRUE,75,2697,64,82,Beginner Level
109,Getting Started with Craft CMS,TRUE,20,997,31,20,All Levels
110,JavaScript For Absolute Beginners - Level One,TRUE,65,713,80,8,All Levels
111,Effective Personal Website Building and Hosting,TRUE,20,4259,0,11,All Levels
112,Web Design for Web Developers: Build Beautiful Websites!,FALSE,0,98867,6512,20,All Levels
113,"Learn Rails: Quickly Code, Style and Launch 4 Web Apps",TRUE,200,1849,21,83,All Levels
114,Getting Started with NodeJS for Beginners,TRUE,195,1645,75,12,All Levels
115,Quickstart AngularJS,FALSE,0,64128,4047,17,Beginner Level
116,Byte-Sized-Chunks: Cascading Style Sheets (CSS) with HTML,TRUE,20,2160,16,28,All Levels
117,Learn Building Your Own Website Without Coding,TRUE,50,7660,7,19,All Levels
118,Practical Guide to Web Development,TRUE,20,2025,16,38,Beginner Level
119,The Complete HTML5 and CSS3 Course,TRUE,40,1548,30,126,All Levels
120,HTML & CSS for beginners: Build 3 projects from scratch,TRUE,40,2472,139,31,Beginner Level
121,Code a 'Coming Soon' Landing Page in Bootstrap 4,FALSE,0,13535,473,18,All Levels
122,Introduction to Bootstrap 3,TRUE,20,5795,79,29,Beginner Level
123,Master ExpressJS to Build Web Apps with NodeJS&JavaScript,TRUE,50,2643,56,24,All Levels
124,Learn XML Crash Course: Discover Essential XML Fundamentals ,TRUE,50,3704,111,18,Intermediate Level
125,HTML5 CSS3 JQUERY Single Page Website Project from Scratch,TRUE,120,1678,34,32,All Levels
126,Scrape Websites using PhantomJS and CasperJS,TRUE,195,960,110,32,Intermediate Level
127,Amazon s3 Mastery - THE How-To' Guides For Amazon S3,TRUE,95,1811,118,36,All Levels
128,HTML and CSS Crash Course for Beginners,TRUE,50,4123,46,31,Beginner Level
129,EMMET Faster HTML & CSS workflow - Best Tool For Developers ,FALSE,0,26697,1097,20,All Levels
130,Introduction to Web Development,TRUE,50,5921,35,42,Beginner Level
131,AngularJS For ASP.NET MVC Developers,TRUE,50,3011,57,10,Intermediate Level
132,Serverless Workflow Management with AWS Step Functions,FALSE,0,8768,173,8,Intermediate Level
133,How to set up a Web Server From Scratch to One Fully Managed,TRUE,200,1673,31,24,All Levels
134,The Complete PHP MySQL Professional Course with 5 Projects,TRUE,200,16158,159,125,All Levels
135,Angular Masterclass,TRUE,150,4057,359,99,All Levels
136,Become a Professional Web Developer | Version 3.0,TRUE,200,6851,276,454,All Levels
137,Build Incredible Chatbots,TRUE,100,2234,253,115,All Levels
138,Try Django 1.10 | Create a URL Shortening Service,TRUE,50,9607,78,40,All Levels
139,Projects in CSS,TRUE,60,4689,216,54,All Levels
140,Ruby on Rails: Training and Skills to Build Web Applications,TRUE,95,9375,219,43,All Levels
141,Learn and Understand React,TRUE,30,4848,105,123,All Levels
142,Learn Javascript & JQuery From Scratch,TRUE,30,84897,2685,10,All Levels
143,Learn to use JSON,TRUE,150,12838,96,22,Beginner Level
144,The Ultimate Web Developer How To Guide,TRUE,200,24861,423,281,All Levels
145,"Build A Complete CRUD Application With PHP, MYSQL & JQUERY",TRUE,20,9762,94,112,All Levels
146,jQuery Crash Course: Learn the Essentials of jQuery Fast,TRUE,50,11262,142,18,All Levels
147,Drupal Tutorial : Drupal 8 Beginner to Expert in 8 PROJECTS,TRUE,200,1270,16,73,Beginner Level
148,The Complete PHP CodeIgniter Course: Beginner To Advanced,TRUE,195,17895,212,30,All Levels
149,JavaScript For Beginners : Learn JavaScript From Scratch,TRUE,195,11285,102,77,All Levels
150,"Mastering 'Native CSS Shapes To Build Modern Web Pages""",TRUE,195,1040,5,30,All Levels
151,WordPress Development For Beginners,TRUE,95,23572,210,20,All Levels
152,WordPress local server setup and site migration online,TRUE,55,3801,43,12,All Levels
